student_id,res_critical,res_participation,assignment,midterm,sec
6442036827,5,5,4.642857143,16.5,10
6442037427,5,4.545454545,3.571428571,12.875,10
6442038027,5,4.090909091,4.285714286,9.75,10
6442039727,5,4.545454545,3.571428571,15.75,10
6442040227,5,5,4.285714286,12.75,10
6442041927,5,4.545454545,3.928571429,8.5,10
6442043127,2.5,4.545454545,2.857142857,9,10
6442044827,5,4.545454545,5,15.375,10
6442045427,5,5,5,15.25,10
6442046027,5,4.545454545,4.285714286,11.875,10
6442101927,5,3.636363636,2.857142857,7.75,10
6442104827,3.75,4.090909091,4.285714286,9.25,10
6442106027,5,3.636363636,3.214285714,12.75,10
6442116327,5,3.636363636,2.5,11.625,10
6442119227,2.5,4.090909091,1.071428571,11.875,10
6442122027,5,3.636363636,4.285714286,15.5,10
6441103027,5,5,4.642857143,17.625,11
6441109827,5,5,5,14.25,11
6441111027,5,5,5,21.5,11
6441165927,5,4.545454545,5,14.375,11
6441207627,5,4.545454545,5,20.25,11
6441211027,5,5,4.642857143,17.25,11
6441216227,5,4.545454545,4.642857143,16.25,11
6441247727,5,5,5,19.8125,11
6441251127,5,4.545454545,2.857142857,17.6875,11
6441252827,3.75,5,5,18.125,11
6441260827,5,5,5,17.375,11
6441271727,5,4.545454545,5,16.0625,11
6441272327,3.75,4.545454545,3.571428571,15.1875,11
6442102527,5,4.090909091,3.928571429,15.9375,11
6442103127,5,5,5,16.375,11
6442105427,5,4.545454545,5,12.9375,11
6442107727,2.5,4.545454545,4.642857143,12.8125,11
6442108327,5,5,4.285714286,9.8125,11
6442109027,5,5,5,10.875,11
6442110527,5,5,4.642857143,15.625,11
6442111127,5,4.545454545,3.214285714,8.75,11
6442112827,5,5,4.285714286,14.875,11
6442113427,5,5,5,12.75,11
6442114027,5,5,5,11.375,11
6442115727,5,5,4.642857143,13.6875,11
6442117027,5,5,5,12.75,11
6442120827,5,5,4.285714286,11.625,11
6442121427,5,4.090909091,4.285714286,9.4375,11
6442123727,3.75,2.727272727,4.285714286,11.5,11
6441110327,5,4.545454545,3.571428571,14.9375,12
6441116127,5,5,2.857142857,13.375,12
6441123527,5,5,5,18.1875,12
6441125827,5,5,4.642857143,15.25,12
6441130927,5,5,3.571428571,17,12
6441135027,5,5,5,17.0625,12
6441156227,5,5,5,19.375,12
6441162027,5,5,5,19.375,12
6441168827,5,5,5,17.3125,12
6441169427,5,4.545454545,1.785714286,12.375,12
6441181927,5,5,5,21.375,12
6441187727,5,5,5,18.8125,12
6441192827,5,5,5,17.0625,12
6441197027,5,5,5,14.25,12
6441214027,5,5,5,15.75,12
6441224227,5,4.545454545,3.214285714,16.375,12
6441226527,5,5,5,18.375,12
6441229427,5,5,5,16.25,12
6441253427,5,4.545454545,4.285714286,17.875,12
6441256327,5,5,5,11.4375,12
6441261427,5,5,5,19.125,12
6441288427,5,5,4.642857143,15.875,12
6441117827,5,4.545454545,5,13.4375,13
6441131527,0,3.636363636,3.571428571,11.1625,13
6441134427,5,5,5,15.375,13
6441145327,5,4.545454545,4.285714286,12.3125,13
6441164227,5,4.545454545,5,12,13
6441175127,5,5,5,14.8125,13
6441177427,5,5,3.571428571,17.6875,13
6441183127,5,5,2.857142857,14.5,13
6441191127,5,5,3.928571429,12.0625,13
6441205327,5,5,4.642857143,16.625,13
6441209927,2.5,5,4.285714286,15.25,13
6441222027,3.75,4.545454545,4.285714286,14.8125,13
6441223627,5,5,5,13.625,13
6441227127,5,4.545454545,5,18.125,13
6441233927,5,5,5,16.9375,13
6441235127,5,4.545454545,3.571428571,18.8125,13
6441248327,5,4.545454545,5,9.9375,13
6441250527,5,4.545454545,4.285714286,11.5625,13
6441258627,5,4.545454545,5,16.4375,13
6441264327,5,5,5,16.8375,13
6441277527,5,5,4.285714286,17.5625,13
6441286127,5,5,5,17.375,13
6441287827,5,5,4.642857143,14.125,13
6441121227,5,5,5,16.5,14
6441127027,2.5,2.727272727,1.428571429,14.5625,14
6441129327,3.75,4.545454545,4.285714286,19.75,14
6441140127,5,5,5,22.125,14
6441153327,5,5,5,23,14
6441163627,5,5,3.928571429,19.5,14
6441171627,5,4.090909091,3.928571429,16.0625,14
6441193427,5,5,4.285714286,18.875,14
6441249027,2.5,5,3.571428571,17.125,14
6441275227,5,5,3.928571429,17.125,14
6441279827,5,4.545454545,4.285714286,18.75,14
6442213527,5,5,5,13.875,14
6442214127,5,5,5,15.6875,14
6442215827,5,4.545454545,5,13.1875,14
6442216427,5,5,2.5,11.9375,14
6442218727,5,5,5,17.125,14
6442219327,5,5,5,11.9375,14
6442221527,5,4.545454545,4.642857143,11.3125,14
6442222127,5,3.636363636,5,14.5625,14
6442223827,5,4.090909091,5,14.5,14
6442224427,5,3.636363636,4.285714286,10.1875,14
6442225027,2.5,3.181818182,3.214285714,11.625,14
6442227327,5,4.545454545,5,16.8125,14
6442230127,5,4.545454545,2.857142857,12.3125,14
6442231827,3.75,4.545454545,2.5,12.0625,14
6342312927,0,2.272727273,1.428571429,10.125,15
6441004527,5,5,4.285714286,17.0625,15
6441006827,5,5,4.642857143,18.25,15
6441008027,5,5,5,19.25,15
6441011927,5,5,5,15.75,15
6441012527,5,5,4.642857143,17.25,15
6441024027,5,5,4.642857143,16,15
6441025727,5,5,5,14.625,15
6441026327,5,5,5,11.125,15
6441028627,5,5,3.928571429,11.875,15
6441030827,5,4.545454545,4.285714286,16,15
6441033727,5,5,4.642857143,15,15
6441034327,5,5,5,19.5,15
6441035027,3.75,5,5,15.875,15
6441037227,5,5,5,18.625,15
6441039527,5,5,5,16,15
6441041727,5,4.545454545,5,18.875,15
6441042327,5,5,4.642857143,14.625,15
6441106927,5,4.545454545,4.642857143,16.125,15
6441128727,5,5,4.285714286,16.375,15
6441143027,5,5,5,18.25,15
6441157927,5,5,2.142857143,18.375,15
6441158527,5,5,5,18.8125,15
6441172227,5,5,5,17.125,15
6441173927,5,5,5,15.875,15
6441176827,5,5,4.285714286,15.1875,15
6441179727,5,5,5,18.375,15
6441203027,5,5,5,18.125,15
6441241927,5,5,4.285714286,17,15
6441270027,5,5,5,18.75,15
6442035127,2.5,5,2.142857143,10,15
